1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;vers.;42;4;38;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;8;0;8;8;0;8;2;0;2;11;0;11;2;0;2;3;0;3;5;0;5;5;0;5;8;2;6;4;0;4;4;1;3;5;1;4;31;4;27
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;insg.;1,074;107;967;2;0;2;0;0;0;0;0;0;1;0;1;8;1;7;11;1;10;124;6;118;121;7;114;245;13;232;190;15;175;446;29;417;81;9;72;74;11;63;155;20;135;124;20;104;173;17;156;89;11;78;50;7;43;37;3;34;628;78;550
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;voll.;614;62;552;1;0;1;2;1;1;0;0;0;1;1;0;8;0;8;12;2;10;86;10;76;63;4;59;149;14;135;97;10;87;258;26;232;59;6;53;41;5;36;100;11;89;55;5;50;115;12;103;31;4;27;24;1;23;31;3;28;356;36;320
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;vers.;62;6;56;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;8;1;7;4;1;3;12;2;10;8;1;7;21;3;18;3;0;3;1;0;1;4;0;4;14;3;11;8;0;8;12;0;12;2;0;2;1;0;1;41;3;38
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;insg.;676;68;608;1;0;1;2;1;1;0;0;0;1;1;0;9;0;9;13;2;11;94;11;83;67;5;62;161;16;145;105;11;94;279;29;250;62;6;56;42;5;37;104;11;93;69;8;61;123;12;111;43;4;39;26;1;25;32;3;29;397;39;358
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;voll.;185;22;163;1;0;1;0;0;0;0;0;0;0;0;0;2;0;2;3;0;3;29;3;26;16;3;13;45;6;39;26;2;24;74;8;66;17;1;16;12;2;10;29;3;26;11;1;10;39;5;34;12;2;10;6;1;5;14;2;12;111;14;97
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;vers.;32;5;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;5;2;1;1;8;2;6;5;1;4;13;3;10;3;0;3;1;0;1;4;0;4;7;2;5;4;0;4;2;0;2;1;0;1;1;0;1;19;2;17
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;insg.;217;27;190;1;0;1;0;0;0;0;0;0;0;0;0;2;0;2;3;0;3;35;4;31;18;4;14;53;8;45;31;3;28;87;11;76;20;1;19;13;2;11;33;3;30;18;3;15;43;5;38;14;2;12;7;1;6;15;2;13;130;16;114
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;voll.;311;30;281;0;0;0;2;1;1;0;0;0;1;1;0;4;0;4;7;2;5;42;7;35;34;0;34;76;7;69;51;7;44;134;16;118;34;3;31;21;3;18;55;6;49;35;3;32;53;3;50;15;1;14;10;0;10;9;1;8;177;14;163
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;vers.;26;1;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;0;2;2;0;2;4;0;4;2;0;2;7;0;7;0;0;0;0;0;0;0;0;0;7;1;6;4;0;4;8;0;8;0;0;0;0;0;0;19;1;18
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;insg.;337;31;306;0;0;0;2;1;1;0;0;0;1;1;0;5;0;5;8;2;6;44;7;37;36;0;36;80;7;73;53;7;46;141;16;125;34;3;31;21;3;18;55;6;49;42;4;38;57;3;54;23;1;22;10;0;10;9;1;8;196;15;181
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;voll.;118;10;108;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;15;0;15;13;1;12;28;1;27;20;1;19;50;2;48;8;2;6;8;0;8;16;2;14;9;1;8;23;4;19;4;1;3;8;0;8;8;0;8;68;8;60
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;vers.;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;1;0;0;0;3;0;3
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;insg.;122;10;112;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;15;0;15;13;1;12;28;1;27;21;1;20;51;2;49;8;2;6;8;0;8;16;2;14;9;1;8;23;4;19;6;1;5;9;0;9;8;0;8;71;8;63
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
